Gene,Name,Cluster,AP1_S4,AP1_S6,AP3_S4,AP3_S6,AG_S4,AG_S6
AT1G01050,PPa1,Unknown,72.705,47.24,34.1,58.45,25.925,27.79
AT1G01060,LHY1,Unknown,10.07,16.835,7.06,8.915,17.335,17.8
AT1G01110,IQD18,Unknown,11.6,12.635,27.685,21.625,17.86,15.875
AT1G01170,AT1G01170,AP1,217.03,177.405,110.45,144.255,64.19,79.34
AT1G01225,AT1G01225,Unknown,9.715,6.065,5.085,7.305,3.025,3.35
AT1G01230,AT1G01230,AP1,49.095,38.205,23.695,30.435,13.355,16.03
AT1G01240,AT1G01240,AP1_AP3,14.09,14.28,8.93,15.75,3.13,6.59
AT1G01250,AT1G01250,Unknown,65.215,49.75,2.66,2.11,8.37,10.67
AT1G01320,AT1G01320,AG,11.13,21.05,21.98,18.865,46.75,43.08
AT1G01360,RCAR1,AP1_AP3,85.265,108.775,73.08,89.545,16.245,27.565
AT1G01370,HTR12,Unknown,44.175,43.36,64.825,53.3,31.145,28.405
AT1G01380,ETC1,Unknown,0,0,0,0.065,0.345,0.06
AT1G01430,TBL25,Unknown,11.97,8.015,6.715,9.21,5.59,7.225
AT1G01448,NA,Unknown,1.23,2.465,2.925,3.295,3.415,3.755
AT1G01470,LSR3,Unknown,71.385,68.29,18.295,14.3,13.84,14.245
AT1G01490,AT1G01490,Unknown,111.395,108.19,53.645,65.17,62.67,62.28
AT1G01510,DOQ,Unknown,21.865,25.815,42.83,35.03,44.16,39.475
AT1G01570,AT1G01570,Unknown,1.475,1.22,2.775,2.855,1.77,2.19
AT1G01600,CYP86A4,Unknown,5.35,17.055,9.78,5.585,22.235,22.075
AT1G01610,GPAT4,Unknown,58.195,95.475,150.725,91.96,108.89,105.675
AT1G01640,AT1G01640,Unknown,4.51,3.035,0.605,1.335,1.115,2.355
AT1G01725,AT1G01725,AP1_AP3,72.05,72.64,48.875,49.51,13.505,13.945
AT1G01730,AT1G01730,Unknown,86.42,50.29,75.26,95.23,33.33,30.795
AT1G01780,PLIM2b,Unknown,3.475,4.005,11.155,8.26,13.985,9.165
AT1G01790,KEA1,Unknown,6.11,9.185,11.87,10.94,15.985,16.31
AT1G01800,AT1G01800,Unknown,94.71,72.27,52.655,87.735,43.46,47.96
AT1G01900,SBTI1.1,AG,1.635,1.805,2.63,1.74,7.72,7.03
AT1G01960,EDA10,Unknown,9.38,13.995,21.5,16.24,22.12,24.465
AT1G02010,SEC1A,Unknown,1.67,2.69,3.45,2.85,4.85,4.235
AT1G02020,AT1G02020,Unknown,5.235,5.93,11.745,6.44,8.52,7.315
AT1G02050,PSKA,Unknown,6.055,9.76,22.975,15.985,24.455,27.635
AT1G02070,AT1G02070,AP3,7.845,9.575,27.535,22.87,6.49,8.295
AT1G02080,AT1G02080,Unknown,6.525,9.575,16.46,14.85,13.385,15.335
AT1G02110,AT1G02110,Unknown,45.76,36.095,127.23,62.245,109.465,93.23
AT1G02120,VAD1,Unknown,25.485,39.87,37.92,41.035,71.555,59.44
AT1G02150,AT1G02150,Unknown,26.615,31.485,45.48,34.27,60.835,62.685
AT1G02260,AT1G02260,Unknown,8.79,15.82,27.395,16.805,26.825,26.895
AT1G02340,RSF1,Unknown,3.01,10.27,2.285,2.8,0.89,1.845
AT1G02380,AT1G02380,Unknown,3.105,2.735,0.97,2.495,1.34,1.12
AT1G02390,GPAT2,Unknown,1.19,3.36,0.905,0.795,0.825,1
AT1G02420,AT1G02420,Unknown,2.17,1.97,1.665,2.015,4.185,2.275
AT1G02470,AT1G02470,Unknown,2.94,1.615,0.075,0.905,1.055,1.16
AT1G02475,AT1G02475,Unknown,13.295,12.685,5.605,7.54,8.73,7.74
AT1G02500,SAM1,Unknown,136.82,105.085,199.975,155.715,258.575,236.85
AT1G02510,TPK4,Unknown,0,0,0,0,0.33,0.075
AT1G02520,PGP11,Unknown,0.25,0.275,0.42,0.19,0.95,0.675
AT1G02530,PGP12,Unknown,0.45,0.315,0.78,0.515,1.72,1.525
AT1G02560,NCLPP5,Unknown,114.8,80.19,56.065,76.915,59.395,71.46
AT1G02610,AT1G02610,AP1_AP3,8.245,6.16,3.065,5.52,0.07,0.75
AT1G02640,BXL2,Unknown,15.77,25.275,56.405,44.035,21.545,23.085
AT1G02650,AT1G02650,Unknown,0.705,0.8,2.765,0.69,0.6,0.815
AT1G02680,TAF13,Unknown,32.52,28.28,27.465,34.4,15.595,20
AT1G02710,AT1G02710,Unknown,0.465,0,0.475,0.475,6.845,3.4
AT1G02730,SOS6,Unknown,25.86,30.25,40.005,35.44,58.005,60.68
AT1G02800,CEL2,Unknown,30.995,27.87,61.57,46.81,47.9,81.58
AT1G02810,AT1G02810,Unknown,1.385,1.58,1.745,1.385,2.465,3.675
AT1G02816,AT1G02816,Unknown,30.115,22.07,12.925,20.34,5.445,8.985
AT1G02820,LEA3,Unknown,0,0,0,0.275,0.85,1.09
AT1G02840,SRP34,Unknown,100.455,129.23,308.505,184.405,286.8,252.73
AT1G02850,BGLU11,Unknown,13.615,14.81,8.285,6.975,18.19,17.56
AT1G02930,GSTF6,Unknown,43.585,58.875,3.62,8.125,8.005,9.265
AT1G02952,NA,Unknown,0,0,0,0,0.16,0
AT1G03030,AT1G03030,Unknown,19.7,21.765,18.835,23.095,12.61,10.465
AT1G03055,D27,Unknown,0.925,0,0.115,0.165,0.64,1.12
AT1G03060,SPI,Unknown,1.625,3.14,5.455,4.49,6.925,8.35
AT1G03170,FTM5,Unknown,58.755,38.575,16.43,30.31,29.575,32.14
AT1G03230,AT1G03230,Unknown,44.415,32.5,97.695,46.26,53.18,45.19
AT1G03290,AT1G03290,Unknown,38.09,42.585,28.405,42.655,16.115,22.17
AT1G03320,AT1G03320,Unknown,0,0,0,0.15,0.345,0.34
AT1G03330,LSM2,Unknown,107.015,66.265,47.455,80.045,35.655,36.615
AT1G03340,AT1G03340,Unknown,0.2,0.085,0,0.08,0.225,0.535
AT1G03400,AT1G03400,Unknown,7.465,12.175,6.805,4.185,6.215,7.22
AT1G03430,AHP5,Unknown,20.77,17.17,8.32,12.9,8.58,11.21
AT1G03490,NAC006,Unknown,0,0,0,0,0,0.14
AT1G03520,AT1G03520,Unknown,4.645,3.93,3.51,5.845,3.64,2.62
AT1G03530,NAF1,Unknown,12.13,14.965,23.27,16.885,28.405,27.205
AT1G03620,AT1G03620,Unknown,0,0.135,0.085,0.385,0.33,0.28
AT1G03660,AT1G03660,Unknown,1.59,1.27,1.63,3.48,1.01,1.095
AT1G03700,AT1G03700,Unknown,0.485,0.47,1.15,0.535,0.055,0.475
AT1G03710,AT1G03710,Unknown,25.915,21.48,17.975,17.4,52.52,47.175
AT1G03720,AT1G03720,AG,0.475,1.125,0.595,0.705,1.425,2.615
AT1G03830,AT1G03830,Unknown,4.965,6.525,9.205,7.91,11.975,12.84
AT1G03840,MGP,Unknown,0.26,0.355,0,0.085,0.705,1.105
AT1G03850,GRXS13,Unknown,1.66,1.33,0.28,1.155,0.805,1.52
AT1G03920,AT1G03920,Unknown,0.195,0.15,0.735,0.24,0.555,0.68
AT1G03950,VPS2.3,Unknown,9.815,6.62,3.25,7.235,3.75,4.49
AT1G03960,AT1G03960,Unknown,2.95,4.14,4.365,5.11,6.995,8.11
AT1G03990,AT1G03990,Unknown,0.605,0.59,1.565,0.915,1.305,0.87
AT1G04000,AT1G04000,Unknown,31.91,14.8,32.38,33.455,15.265,13.15
AT1G04040,AT1G04040,Unknown,8.61,11.13,6.69,6.865,13.31,16.08
AT1G04100,IAA10,Unknown,4.225,4.06,2.975,3.92,2.135,1.665
AT1G04110,SDD1,Unknown,0.65,0.635,0.96,0.795,2.515,2.15
AT1G04150,AT1G04150,AP3_AG,1.045,1.24,3.975,2.855,3.57,3.47
AT1G04160,XIB,Unknown,0.79,1.565,2.135,2.105,3.75,3.03
AT1G04250,IAA17,Unknown,71.65,69.455,21.46,59.005,12.785,15.26
AT1G04260,PRA1.D,Unknown,52.5,29.97,49.415,43.205,23.675,28.78
AT1G04270,RPS15,Unknown,1029.74,562.725,510.405,817.165,467.375,388.82
AT1G04280,AT1G04280,AP3,12.9,18.385,19.745,22.135,9.035,10.945
AT1G04295,NA,Unknown,30.15,15.18,10.5,15.22,8.675,4.94
AT1G04300,AT1G04300,Unknown,13.78,20.835,26.485,25.82,28.765,26.605
AT1G04310,ERS2,Unknown,6.555,8.655,13.665,12.055,8.77,8.315
AT1G04350,AT1G04350,Unknown,4.775,5.935,2.425,2.655,5.005,6.4
AT1G04360,AT1G04360,Unknown,1.725,0.945,3.515,3.325,1.33,2.05
AT1G04420,AT1G04420,AG,14.01,14.445,14.155,16.995,30.65,28.955
AT1G04425,NA,Unknown,10.32,13.45,17.08,16.01,21.815,17.11
AT1G04445,AT1G04445,Unknown,0,0,0.81,0.07,0.125,0.135
AT1G04520,PDLP2,Unknown,29.66,21.78,27.065,33.235,35.43,48.23
AT1G04555,AT1G04555,Unknown,6.93,5.63,3.54,3.53,2.43,2.485
AT1G04560,AT1G04560,Unknown,1.56,2.565,0.555,1.165,0.04,0.48
AT1G04570,AT1G04570,Unknown,0.79,1.465,0.725,0.725,2.145,1.1
AT1G04660,AT1G04660,Unknown,4.345,19.07,0.925,1.565,4.285,6.11
AT1G04750,VAMP7B,Unknown,175.14,115.16,79.66,121.075,64.61,65.005
AT1G04800,AT1G04800,Unknown,2.295,3.855,8.45,1.885,68.15,54.12
AT1G04810,AT1G04810,Unknown,11.2,10.855,20.01,18.255,26.6,24.56
AT1G04870,PRMT10,Unknown,21.43,17.25,36.41,27.49,40.865,34.655
AT1G04880,AT1G04880,Unknown,5.175,2.855,3.35,3.565,11.535,5.665
AT1G04920,SPS3F,Unknown,0.055,0.12,0.12,0.12,1.405,0.875
AT1G04970,AT1G04970,Unknown,11.6,11.98,6,12.12,5.945,4.315
AT1G04980,PDIL2-2,Unknown,2.885,2.99,2.095,2.315,5.295,3.615
AT1G04990,AT1G04990,AG,14.655,16.325,13.61,11.33,27.31,23.055
AT1G05060,AT1G05060,Unknown,18.47,21.39,16.08,19.6,4.7,8.51
AT1G05140,AT1G05140,Unknown,19.05,16.145,13.07,14.54,8.475,9.485
AT1G05230,HDG2,Unknown,6.265,12.77,17.73,14.51,16.28,15.82
AT1G05270,AT1G05270,Unknown,10.91,16.45,19.425,16.145,23.595,23.41
AT1G05340,AT1G05340,Unknown,22.305,25.93,5.845,13.125,0.92,2.065
AT1G05460,SDE3,Unknown,15.63,20.41,34.505,23.515,48.94,40.92
AT1G05490,chr31,AG,0.505,1.1,1.005,1.795,2.25,4.655
AT1G05530,UGT75B2,Unknown,0.325,0.225,0.05,0.1,0,0.13
AT1G05560,UGT75B1,Unknown,24.285,20.195,10.01,9.07,20.81,20.435
AT1G05575,AT1G05575,AP1_AP3,3.46,2.36,1.905,2.285,0.13,0.07
AT1G05610,APS2,Unknown,0.05,0.205,0.16,0.095,0.36,0.53
AT1G05630,AT5PTASE13,Unknown,2.56,5.355,6.61,5.035,9.115,8.345
AT1G05670,AT1G05670,Unknown,0.835,0.975,1.235,1.225,1.655,2
AT1G05680,UGT74E2,Unknown,4.495,4.305,1.575,1.355,2.155,2.745
AT1G05720,AT1G05720,Unknown,72.36,53.385,29,58.81,20.68,30.455
AT1G05730,AT1G05730,Unknown,13.73,11.21,6.745,10.81,6.09,9.095
AT1G05785,AT1G05785,Unknown,13.655,12.485,6.565,8.26,3.065,4.41
AT1G05805,AKS2,Unknown,42.8,53.615,80.28,55.835,39.39,39.975
AT1G05830,SDG30,Unknown,3.91,7.115,9.89,8.525,11.29,10.71
AT1G05835,AT1G05835,Unknown,44.76,28.725,14.475,29.785,22.315,29.725
AT1G05910,AT1G05910,Unknown,6.43,8.715,12.475,11.18,18.04,15.415
AT1G05920,AT1G05920,Unknown,0,0,0,0.07,0,0
AT1G05970,AT1G05970,Unknown,47.7,30.91,28.655,52.7,14.71,17.895
AT1G06010,AT1G06010,Unknown,22.815,18.005,12.285,18.005,10.275,10.475
AT1G06020,AT1G06020,Unknown,0,0,0,0,0.13,0.035
AT1G06040,STO,Unknown,225.375,253.765,145.945,185.84,95.3,98.675
AT1G06060,AT1G06060,Unknown,22.095,14.07,11.615,17.205,10.9,9.84
AT1G06090,AT1G06090,AP3_AG,0.065,0,0.215,0.06,0.52,0.555
AT1G06220,MEE5,Unknown,17.675,21.665,34.915,28.965,40.825,41.42
AT1G06250,AT1G06250,Unknown,0.795,0.77,1.535,2.295,2.71,0.86
AT1G06310,ACX6,Unknown,0.81,0.43,0.44,1.01,1.23,2.315
AT1G06340,AT1G06340,Unknown,0.255,0.715,0,0.045,0,0.245
AT1G06350,AtADS4,Unknown,36.395,50.43,14.415,15.275,47.585,45.115
AT1G06360,AT1G06360,AG,14.575,26.08,22.495,29.37,29.82,57.45
AT1G06390,SK22,Unknown,37.575,33.73,29.345,45.75,22.675,22.755
AT1G06400,ATRABA1A,Unknown,106.05,79.805,53.565,88.29,36.165,42.93
AT1G06410,TPS7,Unknown,20.08,42.855,39.835,42.105,48.105,54.235
AT1G06460,ACD32.1,Unknown,39.66,31.965,17.235,22.895,18.605,19.44
AT1G06490,GSL7,Unknown,0.05,0.265,0.86,0.295,1.21,0.965
AT1G06540,AT1G06540,Unknown,0.17,0.27,0.845,1.005,2.555,1.7
AT1G06590,AT1G06590,Unknown,3.655,3.565,7.555,6.605,6.495,6.14
AT1G06620,AT1G06620,Unknown,4.4,4.975,4.315,3.705,11.545,13.12
AT1G06640,AT1G06640,Unknown,7.275,5.09,2.04,2.71,16.58,21.145
AT1G06650,AT1G06650,Unknown,15.925,15.03,6.245,9.675,8.27,12.085
AT1G06670,NIH,Unknown,7.455,10.815,14.86,15.86,20.08,20.32
AT1G06720,AT1G06720,Unknown,5.895,9.565,12.045,10.745,20.24,15.375
AT1G06800,PLA-I{gamma}1,Unknown,4.02,3.78,11.895,6.685,14.03,11.74
AT1G06830,AT1G06830,Unknown,1.5,0.22,0,0.47,1.425,1.69
AT1G06900,AT1G06900,Unknown,4.62,5.895,7.65,8.455,12.87,10.595
AT1G06950,TIC110,Unknown,18.165,21.065,30.11,26.16,47.7,43.87
AT1G06960,AT1G06960,Unknown,27.41,18.93,24.63,28.1,13.315,18.32
AT1G07010,SLP1,Unknown,15.295,19.795,10.75,15.59,21.97,25.945
AT1G07020,AT1G07020,Unknown,67.025,46.815,40.975,55.14,27.635,33.39
AT1G07040,AT1G07040,Unknown,37.425,32.47,19.65,28.07,9.385,16.555
AT1G07080,AT1G07080,Unknown,131.585,136.63,115.395,108.15,62.15,73.36
AT1G07160,AT1G07160,AP3,0,0,0.16,0.05,0,0
AT1G07180,NDA1,AG,0.895,0.44,0.575,0.375,6.305,6.55
AT1G07230,NPC1,Unknown,45.25,39.835,37.875,39.095,18.495,21.65
AT1G07240,UGT71C5,Unknown,10.75,13.42,22.31,14.83,9.215,6.48
AT1G07260,UGT71C3,Unknown,4.37,2.525,9.54,5.94,7.36,6.67
AT1G07280,AT1G07280,Unknown,27.09,27.79,30.285,42.77,13.035,18.5
AT1G07310,AT1G07310,Unknown,52.17,64.32,112.215,66.905,59.73,55.595
AT1G07320,RPL4,Unknown,234.84,300.48,237.045,210.11,487.795,456.42
AT1G07330,AT1G07330,Unknown,0,0,0,0.03,0.19,0.08
AT1G07360,MAC5A,Unknown,73.02,73.26,168.245,80.285,120.895,106.45
AT1G07410,RABA2b,Unknown,3.8,4.35,2.3,4.545,21.885,2.455
AT1G07420,SMO2-1,AP1,32.965,28.935,14.635,17.735,15.52,13.955
AT1G07430,HON,Unknown,11.575,13.37,2.86,3.54,6.22,7.625
AT1G07440,AT1G07440,Unknown,25.995,28.43,9.395,11.575,20.15,21.705
AT1G07473,AT1G07473,Unknown,1.04,1.37,0.435,0.15,0.28,0.13
AT1G07500,SMR5,Unknown,4.145,2.185,2.76,0.75,22.665,2.73
AT1G07530,SCL14,Unknown,29.93,41.745,27.215,34.915,16.095,19.085
AT1G07590,AT1G07590,Unknown,48.245,28.21,6.29,8.95,14.82,21.525
AT1G07600,MT1A,Unknown,369.815,184.515,48.995,102.38,61.785,39.065
AT1G07615,AT1G07615,Unknown,7.1,7.345,16.915,13.08,16.54,16.365
AT1G07640,URP3,Unknown,9.775,8.345,10.965,6.285,16.425,16.08
AT1G07670,ECA4,Unknown,18.61,27.415,39.955,34.44,48.35,32.26
AT1G07725,EXO70H6,Unknown,1.96,1.715,2.645,2.775,3.19,3.45
AT1G07730,AT1G07730,Unknown,1.845,0.915,2.96,2.78,3.74,3.33
AT1G07750,AT1G07750,Unknown,58.36,51.11,44.07,37.51,20.625,20.155
AT1G07810,ECA1,Unknown,13.2,15.415,28.14,23.4,26.405,29.93
AT1G07910,RNL,Unknown,1.325,2.225,2.235,3.385,3.165,3.315
AT1G07930,AT1G07930,Unknown,401.74,325.155,684.635,512.625,1017.025,742.72
AT1G07985,AT1G07985,Unknown,7.7,4.055,0.8,2.37,0.26,0.615
AT1G08010,GATA11,Unknown,40.665,32.115,62.25,53.375,30.58,34.27
AT1G08050,AT1G08050,Unknown,2.015,2.55,1.72,1.205,3.335,3.315
AT1G08060,MOM1,Unknown,3.035,5.175,10.31,7.655,7.445,7.9
AT1G08160,AT1G08160,Unknown,2.66,0.81,1.155,1.29,5.385,3.31
AT1G08170,AT1G08170,Unknown,7.31,11.6,1.955,10.585,1.075,1.455
AT1G08180,AT1G08180,AP1_AP3,15.215,11.32,5.285,11.44,1.72,3.365
AT1G08190,ZIP2,Unknown,18.515,27.78,31.47,25.525,43.31,43.65
AT1G08260,TIL1,Unknown,1.655,2.215,3.595,3.98,4.89,4.465
AT1G08320,TGA9,Unknown,0.565,1.33,1.935,4.425,1.735,2.47
AT1G08360,AT1G08360,Unknown,598.965,345.335,258.63,534.04,190.925,195.49
AT1G08370,DCP1,Unknown,45.445,41.255,98.9,45.78,60.63,51.275
AT1G08380,PSAO,Unknown,1080.585,943.635,568.225,696.97,308.485,365.79
AT1G08465,YAB2,Unknown,6.095,13.37,3.31,11.39,3.355,4.91
AT1G08480,SDH6,Unknown,173.335,116.82,88.46,133.67,60.795,73.73
AT1G08530,AT1G08530,Unknown,13.26,8.365,3.665,7.03,4.04,2.755
AT1G08550,NPQ1,Unknown,8.395,13.225,11.765,9.635,22.595,19.265
AT1G08570,ACHT4,Unknown,114.55,128.335,96.285,129.635,39.67,35.73
AT1G08600,CHR20,Unknown,4.445,7.605,11.885,8.755,12.17,13.63
AT1G08630,THA1,Unknown,32.285,39.42,36.665,49.15,19.535,20.98
AT1G08640,CJD1,Unknown,20.615,20.895,11.39,15.265,11.71,9.635
AT1G08650,PPCK1,Unknown,59.675,68.32,73.565,97.72,63.815,40.24
AT1G08810,MYB60,Unknown,0.32,0.245,0.205,0.305,4.56,3.375
AT1G08840,emb2411,Unknown,1.09,1.78,2.4,2.715,3.14,2.89
AT1G08860,BON3,Unknown,1.61,2.925,8.595,6.235,5.68,3.2
AT1G08880,HTA5,Unknown,407.745,238.845,386.55,372.78,197.35,212.185
AT1G08890,AT1G08890,AP1_AP3,0.685,0.825,0.735,1.51,0.135,0.285
AT1G08910,AT1G08910,Unknown,8.56,9.835,18.93,11.585,22.345,14.965
AT1G08920,ESL1,AG,0.49,1.29,0.705,0.81,1.6,1.69
AT1G08970,NF-YC9,Unknown,104.265,72.93,90.525,105.835,39.685,41.685
AT1G09080,BIP3,AP3_AG,0.065,0.09,0.31,0.21,1.65,1.005
AT1G09090,RBOHB,Unknown,0,0,0,0.01,0.05,0
AT1G09150,AT1G09150,Unknown,84.16,57.81,61.46,71.395,35.51,35
AT1G09157,AT1G09157,Unknown,0.09,0.26,0.095,0.6,1.515,0.1
AT1G09180,SARA1A,Unknown,14.8,9.37,5.565,9.64,3.325,2.21
AT1G09190,AT1G09190,Unknown,3.305,3.78,5.365,4.26,7.09,6.97
AT1G09200,H3.1,Unknown,964.52,692.425,1308.94,951.125,406.11,463.88
AT1G09310,AT1G09310,Unknown,428.785,472.63,62.975,70.32,133.345,168.66
AT1G09330,ECH,Unknown,47.04,31.68,17.605,28.505,14.595,15.475
AT1G09340,HIP1.3,Unknown,43.44,50.705,37.57,24.19,102.51,96.185
AT1G09390,AT1G09390,Unknown,10.1,15.055,22.015,17.07,13.745,13.72
AT1G09440,AT1G09440,Unknown,2.28,2.955,0.935,1.925,4.035,3.98
AT1G09560,PDGLP1,Unknown,49.435,44.075,33.235,28.595,20.265,22.305
AT1G09570,PHYA,Unknown,21.615,32.885,50.85,51.755,28.33,32.44
AT1G09575,AT1G09575,AP3,3.725,3.855,5.215,5.4,2.415,2.345
AT1G09620,AT1G09620,Unknown,18.355,23.445,35.96,34.615,48.395,50.305
AT1G09630,RAB11c,Unknown,58.22,39.435,35.225,44.695,27.22,30.595
AT1G09645,AT1G09645,Unknown,39.95,31.975,15.06,24.465,8.23,12.205
AT1G09650,AT1G09650,Unknown,5.87,5.12,6.27,5,2.52,3.88
AT1G09710,AT1G09710,Unknown,2.59,2.51,7.28,4.41,4.14,3.855
AT1G09750,AT1G09750,AP3,87.47,83.51,203.495,168.685,113.07,94.13
AT1G09812,AT1G09812,Unknown,17.965,6.86,5.16,6.34,13.345,12.105
AT1G09880,AT1G09880,Unknown,1.995,2.285,1.315,4,1.23,1.32
AT1G09930,OPT2,Unknown,0,0.085,0.465,0.185,0.52,0.765
AT1G09932,AT1G09932,Unknown,0.51,0.65,0.51,0.565,1.54,1.36
AT1G10020,AT1G10020,Unknown,15.76,20.745,30.385,31.05,43.2,36.64
AT1G10050,AT1G10050,Unknown,1.635,2.905,4.055,2.515,6.335,5.725
AT1G10090,AT1G10090,Unknown,1.92,3.05,2.83,3.45,1.74,1.36
AT1G10130,ECA3,Unknown,3.95,8.805,9.97,7.975,9.88,10.2
AT1G10140,AT1G10140,AP1_AP3,8.685,7.525,2.1,5.14,0.615,0.525
AT1G10170,NFXL1,Unknown,10.825,16.395,25.115,19.775,26.105,24.785
AT1G10200,WLIM1,AP1,150.445,127.28,58.755,114.165,53.435,60.04
AT1G10210,MPK1,Unknown,9.605,9.47,5.165,10.13,3.48,4.225
AT1G10230,SK18,Unknown,121.74,112.74,167,131.665,78.325,78.415
AT1G10250,AT1G10250,Unknown,0.205,0,0.745,0.72,0.2,0.11
AT1G10270,GRP23,Unknown,13.3,11.535,28.3,15.535,35.785,27.745
AT1G10290,DRP2A,Unknown,14.365,18.92,31.43,26.085,35.8,33.43
AT1G10370,GSTU17,AP1,188.905,235.005,107.44,106.305,90.205,93.33
AT1G10380,AT1G10380,Unknown,0.995,1.51,2.275,0.885,5.435,4.465
AT1G10390,AT1G10390,Unknown,31.335,48.67,70.875,53.86,56.45,57.535
AT1G10400,AT1G10400,Unknown,0.145,0.08,0.41,0.15,0.945,0.23
AT1G10410,AT1G10410,Unknown,27.855,20.92,9.155,20.87,14.38,17.105
AT1G10460,GLP7,Unknown,1.26,0.93,0.38,0.82,2.515,1.945
AT1G10500,CPISCA,Unknown,56.6,51.415,18.235,36.13,17.8,24.065
AT1G10520,Pol{lambda},Unknown,2.63,2.89,6.07,4.605,2.86,3.22
AT1G10560,PUB18,AG,0.96,0.665,0.705,0.41,1.605,1.555
AT1G10570,ULP1C,Unknown,5.845,8.245,12.195,13.76,9.05,9.315
AT1G10657,AT1G10657,Unknown,36.71,30.205,9.4,27.37,20.61,20.335
AT1G10682,NA,Unknown,41.19,23.44,5.905,10.29,9.17,10.285
AT1G10690,AT1G10690,Unknown,34.68,17.575,21.195,25.05,7.96,12.685
AT1G10740,AT1G10740,Unknown,7.585,10.8,10.69,8.36,18.81,16.54
AT1G10760,SOP1,Unknown,7.88,9.675,14.425,11.5,19.81,21.845
AT1G10810,AT1G10810,Unknown,0.21,0.305,0.51,0.685,0.89,1.615
AT1G10990,AT1G10990,Unknown,12.57,14.165,25.105,16.765,10.265,10.005
AT1G11000,MLO4,Unknown,4.31,6.135,6.55,6.87,9.7,7.405
AT1G11020,AT1G11020,Unknown,23.39,24.56,12.355,19.055,9.94,10.405
AT1G11160,AT1G11160,Unknown,1.36,1.51,1.56,1.555,3.28,3.05
AT1G11200,AT1G11200,Unknown,19.81,17.7,13.96,15.16,9.58,9.965
AT1G11210,AT1G11210,AP1_AP3,24.985,21.06,25.68,21.075,9.555,8.555
AT1G11220,AT1G11220,Unknown,7.6,5.445,8.96,7.875,11.57,12.94
AT1G11290,CRR22,Unknown,0.865,1.96,1.265,1.925,2.835,3.655
AT1G11300,AT1G11300,Unknown,1.285,3.265,4.92,4.495,3.83,3.82
AT1G11330,AT1G11330,Unknown,6.14,11.465,4.94,9.425,4.025,3.955
AT1G11340,AT1G11340,Unknown,0.025,0,0.025,0.04,0.165,0.115
AT1G11350,SD1-13,Unknown,1.68,3.33,3.275,2.715,6.39,5.605
AT1G11410,AT1G11410,Unknown,1.92,3.375,2.51,0.915,3.635,4.57
AT1G11475,NRPE10,Unknown,231.405,100.6,73.845,124.95,39.425,39.86
AT1G11490,AT1G11490,Unknown,0,0,0,0.065,0.21,0.14
AT1G11530,CXXS1,Unknown,42.035,32.975,5.375,17.47,2.515,7.375
AT1G11580,PMEPCRA,Unknown,0.82,1.445,6.83,2.55,11.445,11.825
AT1G11590,AT1G11590,Unknown,0,0,0,0.1,0.02,0
AT1G11592,NA,Unknown,21.175,14.04,15.575,17.2,9.4,8.195
AT1G11600,CYP77B1,Unknown,56.495,86.895,186.105,101.645,73.105,117.84
AT1G11700,AT1G11700,Unknown,65.055,43.87,25.14,29.275,25.36,32.095
AT1G11720,SS3,Unknown,3.82,8.17,9.175,9.18,13.115,12.45
AT1G11760,MED32,Unknown,38.095,31.735,29.945,35.305,17.945,23.82
AT1G11770,AT1G11770,Unknown,0,0,0,0.04,0,0
AT1G11785,AT1G11785,Unknown,0,0,0,0.075,0.475,1.035
AT1G11840,GLX1,Unknown,484.395,433.045,179.15,316.215,232.185,278.855
AT1G11860,AT1G11860,Unknown,171.23,185.415,153.49,122.38,347.585,328.145
AT1G11890,SEC22,Unknown,39.97,34.09,26.925,31.475,19.895,20.17
AT1G12010,AT1G12010,Unknown,3.595,2.9,1.855,1.295,0.355,0.775
AT1G12020,AT1G12020,Unknown,18.135,11.68,12.47,11.145,6.78,6.985
AT1G12090,ELP,Unknown,313.315,223.645,155.205,211.755,100.97,113.895
AT1G12110,NRT1.1,Unknown,1.54,1.385,0.845,0.575,2.295,2.23
AT1G12230,AT1G12230,Unknown,60.125,65.865,56.305,63.12,27.23,34.14
AT1G12280,SUMM2,Unknown,0.26,0.54,0.52,0.69,1.32,1.545
AT1G12320,AT1G12320,AP1,14.135,16.7,5.7,6.55,9.325,11.935
AT1G12370,UVR2,Unknown,7.77,9.61,15.78,10.255,16.79,18.29
AT1G12380,AT1G12380,AG,7.585,6.585,6.295,8.815,12.685,14.89
AT1G12440,AT1G12440,Unknown,131.765,164.38,129.075,143.98,54.41,72.145
AT1G12530,MOS9,Unknown,46.88,43.025,16.695,28.94,15.225,18.425
AT1G12570,AT1G12570,Unknown,7.965,17.28,10.595,5.405,25.63,21.41
AT1G12810,AT1G12810,Unknown,126.5,112.5,90.105,88.12,43.995,40.83
AT1G12840,DET3,Unknown,62.675,50.42,31.535,47.535,30.73,34.765
AT1G12880,NUDT12,Unknown,3.575,4.46,2.87,3.78,6.07,8.045
AT1G12980,ESR1,AG,2.555,1.03,2.5,0.88,8.245,2.255
AT1G13040,AT1G13040,Unknown,0.755,1.045,1.56,1.845,3.785,2.5
AT1G13050,AT1G13050,Unknown,4.075,3.28,8.92,4.545,10.135,6.705
AT1G13080,CYP71B2,Unknown,2.02,3.07,0.825,1.48,2.58,3.475
AT1G13090,CYP71B28,Unknown,20.94,18.29,9.22,13.555,10.97,14.285
